Job Title,Company Name,Salary Min,Salary Max,Location,Experience Level,Contract Type,Contract Time,Created,Description,Skills,Source Platform,Search Title
Intern - IT - AI Engineer,Midland States Bank Careers,63440,63440,"Lake Sara, Effingham County",,contract,full_time,2025-11-28T20:00:00Z,"Position Title: Intern - IT - AI Engineer Locations: Effingham_IL Time Type: Full time Req ID: JR1234-Effingham_IL At Midland, we’re proud to be a little different. You can see it in our bright orange signs-but there’s more to it than that. With our heartfelt and personalized approach, we’re focused on meeting every customer’s needs with the brightest solutions. For more than 140 years, we’ve learned by serving customers skillfully with dedication and follow-through, we can brighten every inter…",IT Jobs,Adzuna,AI Engineer
Head of AI Engineering (Strategy and Innovation),CLEAR ,185371.72,185371.72,"Grand Central, Manhattan",,,full_time,2025-10-21T09:54:17Z,"Have you ever had that green-light feeling? When you hit every green light and the day just feels like magic. CLEARs mission is to create frictionless experiences where every day has that feeling. With more than 30 million passionate members and hundreds of partners around the world, CLEAR’s identity platform is transforming the way people live, work, and travel. Whether it’s at the airport, stadium, or right on your phone, CLEAR connects you to the things that make you, you - unlocking easier,…",IT Jobs,Adzuna,AI Engineer
AI Engineer with Security Clearance,10x National Security,166142.2,166142.2,"Leesburg, Loudoun County",,,,2025-11-10T13:40:56Z,"10x National Security is building the next generation of defense technology—fast, practical, and driven by results. We deliver mission-critical software, data, and AI systems for the Department of Defense, Intelligence Community, and national mission partners. Our work spans AI-powered threat detection (VDetect), zero-copy data integration (vPipeline), immersive collaboration (Voxaverse), and secure software factories supporting U.S. national security operations. We move fast, solve hard proble…",Engineering Jobs,Adzuna,AI Engineer
AI Engineer with Security Clearance,"Zachary Piper Solutions, LLC",367005.22,367005.22,"Boston, Suffolk County",,,,2025-11-11T18:12:32Z,"Zachary Piper Solutions is seeking an AI Engineer to support a major defense aviation modernization program focused on advancing the intelligence, readiness, and lifespan of next-generation aircraft systems. This position is based onsite in Cambridge, MA, where engineers collaborate across disciplines to design, train, and deploy AI-driven solutions supporting critical mission systems. You'll work at the intersection of artificial intelligence, high-performance computing, and national defense—b…",IT Jobs,Adzuna,AI Engineer
AI Engineer with Security Clearance,Booz Allen Hamilton,161186.03,161186.03,"Fairfax, Fairfax County",,,,2025-11-11T18:08:49Z,"Job Number: R0228810 AI Engineer The Opportunity: As a programmer, you know that machine learning is critical to understanding and processing massive datasets. Your ability to c ond uct statistical analyses on business processes using ML techniques makes you an integral part of delivering a customer-focused solution. We need your technical knowledge and desire to problem-solve to support transforming the federal government with AI. As an AI Engineer on our national security team, you'll build a…",IT Jobs,Adzuna,AI Engineer
"Lead AI Engineer / LLMs, RAG, Python / Durham / Hybrid",Motion Recruitment,73416.59,73416.59,"Durham, Durham County",,,,2025-11-08T10:56:26Z,"Job Description We are working with a major company within the Insurance industry based out of Durham, NC, with a major focus on tech innovation to better serve their customers through alternative asset management, retirement planning, and annuity products, with increased speed and precision. \n \nFor this role, they are looking for an AI Engineer that is comfortable designing/developing GenAI and LLM based solutions and RAG architectures. The ideal profile will be someone with an entrepreneuri…",IT Jobs,Adzuna,AI Engineer
AI Engineer with Security Clearance,steampunk,130360.63,130360.63,"Fairfax, Fairfax County",,,,2025-11-12T23:06:49Z,"Overview Steampunk is seeking an experienced Azure Search AI Interface Developer to design, develop, and maintain AI-powered search solutions for enterprise applications. The ideal candidate will have hands-on experience with Azure Cognitive Search, AI/NLP services, and modern application development. Contributions Responsibilities include: * Develop and maintain search-driven applications using Azure Cognitive Search. * Implement AI/ML features like semantic search, natural language understand…",IT Jobs,Adzuna,AI Engineer
Generative AI Engineer with Security Clearance,OMW Consulting,147314.33,147314.33,"Washington, D.C., US",,,,2025-08-01T09:43:56Z,"Role: Software Engineer - Genrative AI Location: Onsite - D.C Area Clearance Required: Active DoD Secret or Top Secret Salary: $200k-$250k Overview: A rapidly growing Generative AI platform supporting government and commercial teams is seeking a Generative AI Software Engineer to work closely with clients on-site. This role involves building AI agents and plugins, guiding full-scale deployments, and delivering mission-critical automation solutions. Key Responsibilities: Partner directly with cl…",IT Jobs,Adzuna,AI Engineer
Level 5 AI Engineer with Security Clearance,"Zachary Piper Solutions, LLC",198867.05,198867.05,"Cambridge, Middlesex County",,,,2025-11-12T13:52:56Z,"Level 5 AI Engineer (Expert/Principal) Location: Cambridge, MA Work Type: Full-time, Onsite Overview: The Level 5 AI Engineer is a principal-level expert who drives strategic AI initiatives, sets technical direction, and ensures the scalability and robustness of AI systems across the organization. Responsibilities: • Architect and lead enterprise-level AI solutions. • Define AI strategy and roadmap in collaboration with leadership. • Ensure ethical AI practices and regulatory compliance. • Lead…",IT Jobs,Adzuna,AI Engineer
Level 4 AI Engineer with Security Clearance,"Zachary Piper Solutions, LLC",197764.23,197764.23,"Cambridge, Middlesex County",,,,2025-11-12T13:52:57Z,"Level 4 AI Engineer Location: Cambridge, MA Work Type: Full-time, Onsite Overview: The Level 4 AI Engineer is a senior contributor with deeper expertise in AI systems and software engineering. This role involves leading projects, mentoring junior engineers, and driving innovation in AI model development and deployment. Responsibilities: • Lead design and development of advanced AI models. • Oversee data strategy and ensure high-quality datasets. • Guide model evaluation and performance tuning. …",IT Jobs,Adzuna,AI Engineer
Level 3 AI Engineer with Security Clearance,"Zachary Piper Solutions, LLC",174223.83,174223.83,"Cambridge, Middlesex County",,,,2025-11-12T13:52:57Z,"AI Engineer – Level 3 (Experienced) Location: Cambridge, MA Work Type: Full-time, Onsite Overview: The Level 3 AI Engineer is an experienced professional responsible for designing, developing, and deploying AI models and algorithms. This role involves hands-on work with data preprocessing, model training, and integration into production systems, with a strong emphasis on collaboration and documentation. Responsibilities: • Develop and implement AI algorithms using standard tools and frameworks.…",IT Jobs,Adzuna,AI Engineer
Principal AI Engineer with Security Clearance,"Zachary Piper Solutions, LLC",351981.44,351981.44,"Boston, Suffolk County",,,,2025-11-13T00:44:29Z,"Zachary Piper Solutions is seeking a Principal AI Engineer to serve as a technical architect and strategic leader for advanced AI systems supporting national defense modernization initiatives. This senior-level position defines the roadmap for scalable, ethical, and high-performance AI models used in next-generation mission platforms. You'll influence the future of defense AI—guiding how intelligent systems think, learn, and operate across the most advanced aerospace environments on Earth. An a…",IT Jobs,Adzuna,AI Engineer
Senior AI Engineer with Security Clearance,"Zachary Piper Solutions, LLC",331823.5,331823.5,"Boston, Suffolk County",,,,2025-11-11T18:12:30Z,"Zachary Piper Solutions is hiring a Senior AI Engineer to lead complex artificial intelligence initiatives supporting mission-critical defense aviation systems. The ideal candidate will combine deep technical expertise with leadership experience to drive innovation in AI model design, data integrity, and integration across large-scale engineering environments. This role sits at the forefront of AI's evolution within defense—where advanced learning systems meet the most sophisticated machines in…",IT Jobs,Adzuna,AI Engineer
Secure AI Engineer with Security Clearance,Booz Allen Hamilton,160097.56,160097.56,"Fort George G Meade, Anne Arundel County",,,,2025-11-11T18:08:50Z,"Job Number: R0229274 Secure AI Engineer The Opportunity: As a Secure AI Architect, you'll be responsible for designing and implementing secure architectures for artifi cia l intelligence and machine learning ( AI / ML ) systems across the organization. This role bridges cybersecurity and AI engineering disciplines to ensure that AI models, data pipelines, and supporting infrastructure are protected against threats such as data poisoning, model inversion, prompt injection, and adversarial attack…",IT Jobs,Adzuna,AI Engineer
Artificial Intelligence (AI) Engineer with Security Clearance,KDA Consulting,111078.92,111078.92,"West Bethesda, Montgomery County",,,,2025-08-01T09:43:40Z,"KDA Consulting is a Disabled Veteran, Woman-Owned, Certified Disadvantaged Small Business, comprised of a diverse team of professionals driven to tackle the demanding National Defense and Intelligence challenges through IT solutions. We emphasize teamwork and focus on achieving goals to complete deliverables efficiently, on-time, and under budget. We are currently seeking an Artificial Intelligence (AI) Engineer to join our team to support our Government Partner. Primary Job Duties and Required…",IT Jobs,Adzuna,AI Engineer
Lead Software Engineer-AI Platform Engineer,J.P. Morgan,153198.73,153198.73,US,,permanent,,2025-11-16T01:25:33Z,"hackajob is collaborating with J.P. Morgan to connect them with exceptional tech professionals for this role. Base Pay/Salary Jersey City,NJ $152,000.00-$215,000.00 Job Description We have an opportunity to impact your career and provide an adventure where you can push the limits of what's possible. As a Lead Software Engineer at JPMorgan Chase within the Corporate Sector, specifically as a part of the Infrastructure Platforms team, you will play a crucial role in an agile team committed to enh…",IT Jobs,Adzuna,AI Engineer
"AI Engineer, Evaluation and Reliability",Mice Groups,222584.2,222584.2,"Portola Valley, San Mateo County",,,,2025-11-21T20:09:04Z,"Senior Engineer, AI Evaluation and Reliability / Contract-to-Hire or Direct Hire / Redwood City / Hybrid, onsite 3 days per week / This position pays $70-80/hr. W2 for Contract, $140-190K annually upon conversion / US Citizens and Green Card holders only Summary: Our client is looking for a Senior Engineer, AI Evaluation & Reliability to lead the design and execution of evaluation, quality assurance, and release gating for our agentic AI features. You'll develop the pipelines, datasets, and das…",IT Jobs,Adzuna,AI Engineer
AI/ML Engineer,Leo Technologies,135000,135000,US,,permanent,,2025-09-26T09:52:28Z,"hackajob is collaborating with Leo Technologies to connect them with exceptional tech professionals for this role. As an AI/NLP Engineer on our Data Science team, you will be at the forefront of leveraging Large Language Models (LLMs) and cutting-edge AI techniques to create transformative solutions for public safety and intelligence workflows. You will apply your expertise in LLMs, Retrieval-Augmented Generation (RAG), semantic search, Agentic AI, GraphRAG, and other advanced AI solutions to d…",IT Jobs,Adzuna,AI Engineer
Level 5 AI Engineer with Security Clearance,"Zachary Piper Solutions, LLC",222720.31,222720.31,"Cambridge, Middlesex County",,,,2025-11-25T06:57:43Z,"Zachary Piper Solutions is seeking a Level 5 AI Engineer global aerospace and defense company located Cambridge, MA. The Level 5 AI Engineer is a principal-level authority who leads strategic AI initiatives, defines technical direction, and ensures scalable, robust AI systems across the organization. This position will be on-site in Cambridge, MA five days per week! Responsibilities of the Level 5 AI Engineer include: * Design and lead enterprise-scale AI architectures and solutions. * Develop …",IT Jobs,Adzuna,AI Engineer
Senior Applied AI Engineer with Security Clearance,Neural Solutions,146811.95,146811.95,"Annapolis, Anne Arundel County",,,,2025-11-25T15:31:02Z,"Description We're seeking a Senior Applied AI Engineer who doesn't just implement AI solutions-you pioneer them. This role is for someone who views the current state of AI in cyber as primitive and is motivated to push into uncharted territory. You're the type who built AI agents before they were trendy, who has strong opinions about prompt engineering, and who can architect systems others haven't imagined yet. Embedded with cyber units, you'll be the force multiplier transforming how security …",IT Jobs,Adzuna,AI Engineer
Software & Data/AI Engineer with Security Clearance,Cornerstone Defense,110783.23,110783.23,"Fairfax, Fairfax County",,,,2025-11-11T18:08:53Z,"Title: Software & Data/AI Engineer Location: Tysons, VA *Clearance: *Active TS/SCI w/ Polygraph needed to apply * Company Overview: Cornerstone Defense is the Employer of Choice within the Intelligence, Defense, and Space communities of the U.S. Government. Realizing early on that our most prized assets are our employees, we continually focus our attention on improving the overall work/life experience they have supporting the mission. Our Team is pushed every day to use their industry leading k…",IT Jobs,Adzuna,AI Engineer
Mid-Level AI Engineer with Security Clearance,Credence Management Solutions,57249.95,57249.95,"Fairfax, Fairfax County",,,,2025-11-11T18:14:19Z,"Overview Credence is one of the largest privately held technology services firms in the U.S., consistently recognized as a Top Workplace and featured on the Inc. 5000 Fastest-Growing Private Companies list for 12 consecutive years. We serve the largest defense and health agencies with mission-critical AI/ML, enterprise modernization, and advanced intelligence solutions. Our commitment to servant leadership, innovation, and continuous learning helps our people-and our clients-succeed. Credence h…",IT Jobs,Adzuna,AI Engineer
Senior Biomedical AI Engineer with Security Clearance,Credence Management Solutions,97330.76,97330.76,"Fairfax, Fairfax County",,,,2025-11-18T23:49:32Z,"Overview Join a team where innovation meets mission. Our AI, cloud, cyber, and modernization solutions save agencies thousands of hours, safeguard national security, and strengthen health and humanitarian missions worldwide. With 1,700 team members, 1,500 AI/data experts, and 100 prime contracts, we deliver at scale and with purpose. We've been recognized as a Top Workplace by the Washington Post for six straight years and named to the Inc . 5000 Fastest Growing Private Companies 13 of the past…",Scientific & QA Jobs,Adzuna,AI Engineer
"Staff AI Engineer, AI Engineering",GitLab,123299.08,123299.08,US,,,full_time,2025-11-23T18:28:14Z,"GitLab is an open-core software company that develops the most comprehensive AI-powered DevSecOps Platform , used by more than 100,000 organizations. Our mission is to enable everyone to contribute to and co-create the software that powers our world. When everyone can contribute, consumers become contributors, significantly accelerating human progress. Our platform unites teams and organizations, breaking down barriers and redefining what's possible in software development. Thanks to products l…",IT Jobs,Adzuna,AI Engineer
AI Engineer,Vanderhouwen,103428.48,103428.48,"Portland, Multnomah County",,,,2025-09-04T05:14:31Z,"Job ID: 69760 AI Engineer Our client is seeking an AI Engineer to help design and build intelligent, production-grade systems that merge modern AI capabilities with robust backend engineering. This is an exciting opportunity for engineers who have recently transitioned into AI or have foundational experience and are eager to deepen their expertise. The team has significant AI work planned over the next few years, making this one of the highest-priority initiatives within the organization. This …",IT Jobs,Adzuna,AI Engineer
AI Engineer,CYNET SYSTEMS,124800,135200,"Santa Clara, Santa Clara County",,,,2025-11-25T15:26:46Z,"Job Description: Pay Range: $60hr - $65hr The Generative AI Design Engineer will design, develop, and optimize generative AI models and engineering workflows that support innovation in areas such as content creation, product design, intelligent automation, and advanced semiconductor process modeling. This role focuses on developing surrogate models, inverse-design workflows, and high-fidelity digital twins for complex engineering systems. The ideal candidate will integrate physics-based modelin…",Scientific & QA Jobs,Adzuna,AI Engineer
AI Engineer,Black Rock Solutions Corporation,124800,135200,US,,,part_time,2025-11-25T15:18:20Z,"We are seeking an AI Engineer with strong C# Microsoft Full Stack expertise and deep experience across the Microsoft ecosystem. The candidate must have hands-on proficiency in Azure AI Foundry for model development, deployment, and MLOps, along with Azure OpenAI Service for prompt engineering and workflow integration. Expertise in secure, scalable enterprise AI deployment and familiarity with the MCP framework are essential. Preferred skills include SAP Finance, Treasury, and Payout module expo…",IT Jobs,Adzuna,AI Engineer
AI Engineer,Bloomfield Robotics,125240.28,125240.28,"Pittsburgh, Allegheny County",,,full_time,2025-11-05T14:53:01Z,"About the Company Plant level knowledge is vital to satisfying the food production needs from projected a forty percent increase in world population over the next thirty years. We support that goal by continuously and automatically assessing the health and performance of the world’s $1T specialty crops, one plant at a time, with deep learning and imaging. Currently, Bloomfield is focused on wine, table, and juice grapes as well as, more recently, blueberries. Our portable Flash cameras and supp…",Engineering Jobs,Adzuna,AI Engineer
AI Engineer,Tek Spikes,75,90,"Wetmore, Bexar County",,contract,,2025-05-22T12:24:24Z,"As an AI Engineer at Tek Spikes, you will be at the forefront of developing innovative artificial intelligence solutions that enhance our products and services. Your role will involve designing and implementing machine learning models, analyzing large datasets, and working collaboratively with cross-functional teams to integrate AI capabilities into our software solutions. You will leverage your expertise in AI techniques to solve complex problems and improve business outcomes. Key Responsibili…",IT Jobs,Adzuna,AI Engineer
AI Engineer,Anything,125000,250000,"San Francisco, California",,,full_time,2025-11-17T12:49:12Z,"Anything Anything is the AI product engineer for the next wave of entrepreneurs. It's an AI agent that turns English into apps. Everything you need make money on the internet built in - mobile, web, design, AI, backend, infra, payments. Launched Aug 7th. https://x.com/anythingai Hit $2m rev in 2 weeks. Try it at createanything.com Role AI engineers build the systems that make Anything intelligent. Often it involves staring down ambiguous research problems - and shipping clever applied ways of s…",IT Jobs,Adzuna,AI Engineer
AI Engineer,Pierce Technology Corp,166474.95,166474.95,US,,,full_time,2025-09-09T17:33:02Z,"We’re looking for an AI Engineer to design, implement, and optimize advanced AI systems that balance quality, performance, and cost. You’ll work on inference pipelines, retrieval-augmented generation (RAG), and multi-agent patterns while building evaluation harnesses and simulation-based training frameworks. This role combines deep technical skill with a strong focus on real-world reliability and user experience. System Design: Architect inference and RAG pipelines; design manager/worker agent …",IT Jobs,Adzuna,AI Engineer
AI Engineer,Zone IT Solutions,80000,120000,"Houston, Harris County",,,full_time,2025-11-04T12:08:29Z,"We are on the lookout for an innovative and driven AI Engineer . In this role, you will be responsible for designing, developing, and deploying AI models that will enhance our products and improve our services. Requirements Bachelor's or Master's degree in Computer Science, Data Science, or a related field. 5 years of experience in AI/ML development. Strong proficiency in Python, R, or Java. Experience with machine learning libraries such as TensorFlow, Keras, or Scikit-learn. Familiarity with …",IT Jobs,Adzuna,AI Engineer
AI Engineer,Zone IT Solutions,80000,120000,"Minneapolis, Hennepin County",,,full_time,2025-11-04T12:08:28Z,"We are on the lookout for an innovative and driven AI Engineer . In this role, you will be responsible for designing, developing, and deploying AI models that will enhance our products and improve our services. Requirements Bachelor's or Master's degree in Computer Science, Data Science, or a related field. 5 years of experience in AI/ML development. Strong proficiency in Python, R, or Java. Experience with machine learning libraries such as TensorFlow, Keras, or Scikit-learn. Familiarity with …",IT Jobs,Adzuna,AI Engineer
AI Engineer,Zone IT Solutions,80000,120000,"New York City, New York",,,full_time,2025-11-04T12:08:28Z,"We are on the lookout for an innovative and driven AI Engineer . In this role, you will be responsible for designing, developing, and deploying AI models that will enhance our products and improve our services. Requirements Bachelor's or Master's degree in Computer Science, Data Science, or a related field. 5 years of experience in AI/ML development. Strong proficiency in Python, R, or Java. Experience with machine learning libraries such as TensorFlow, Keras, or Scikit-learn. Familiarity with …",IT Jobs,Adzuna,AI Engineer
AI Engineer,Zone IT Solutions,80000,120000,"Edison, Middlesex County",,,full_time,2025-11-04T12:08:28Z,"We are on the lookout for an innovative and driven AI Engineer . In this role, you will be responsible for designing, developing, and deploying AI models that will enhance our products and improve our services. Requirements Bachelor's or Master's degree in Computer Science, Data Science, or a related field. 5 years of experience in AI/ML development. Strong proficiency in Python, R, or Java. Experience with machine learning libraries such as TensorFlow, Keras, or Scikit-learn. Familiarity with …",IT Jobs,Adzuna,AI Engineer
AI Engineer,Zone IT Solutions,80000,120000,"Texas City, Galveston County",,,full_time,2025-11-04T12:08:29Z,"We are on the lookout for an innovative and driven AI Engineer . In this role, you will be responsible for designing, developing, and deploying AI models that will enhance our products and improve our services. Requirements Bachelor's or Master's degree in Computer Science, Data Science, or a related field. 5 years of experience in AI/ML development. Strong proficiency in Python, R, or Java. Experience with machine learning libraries such as TensorFlow, Keras, or Scikit-learn. Familiarity with …",IT Jobs,Adzuna,AI Engineer
AI Engineer,Zone IT Solutions,80000,120000,"San Jose, Santa Clara County",,,full_time,2025-11-04T12:08:28Z,"We are on the lookout for an innovative and driven AI Engineer . In this role, you will be responsible for designing, developing, and deploying AI models that will enhance our products and improve our services. Requirements Bachelor's or Master's degree in Computer Science, Data Science, or a related field. 5 years of experience in AI/ML development. Strong proficiency in Python, R, or Java. Experience with machine learning libraries such as TensorFlow, Keras, or Scikit-learn. Familiarity with …",IT Jobs,Adzuna,AI Engineer
AI Engineer,Barrow Wise Consulting,80000,160000,"Rockville, Montgomery County",,,,2024-04-28T09:00:31Z,"Enjoy problem-solving, need a venue to display your creativity, and emerging technologies pique your interest; if so, Barrow Wise Consulting, LLC is for you. As a multi-disciplined leader, you understand the gifts that set you apart from everyone else. Demonstrate innovative solutions to our clients. Join Barrow Wise Consulting, LLC today. Responsibilities: The AI Engineer will support Barrow Wise's research and development projects and perform the following duties: Design and develop scalable …",IT Jobs,Adzuna,AI Engineer
AI Engineer,VibeCode,80000,400000,"San Francisco, California",,,full_time,2025-08-12T18:19:46Z,"About Vibecode We're democratizing software creation. Our platform lets anyone describe an idea and instantly turn it into a working application—no coding required. We're solving one of computing's fundamental challenges: bridging the gap between human intent and software execution. This requires breakthrough advances in AI reasoning, code generation, and user experience. We've raised a large seed round from of the best investors in the world including Alexis Ohanian (776), Arielle Zuckerberg a…",IT Jobs,Adzuna,AI Engineer
AI Engineer,Joomag,91050.84,91050.84,"Seybold, Miami-Dade County",,,full_time,2025-10-31T04:25:20Z,"We are seeking a highly inquisitive and hands-on AI Engineer to assist us in developing and continually enhancing intelligent workflows within our product. This position lies at the convergence of model experimentation, AI-driven product development, and full-stack implementation. You will collaborate closely with the founders to prototype, integrate, and optimize the deployment of LLMs and other AI systems throughout our platform. This role is technical, creative, and fast-paced, perfect for a…",IT Jobs,Adzuna,AI Engineer
AI Engineer,"Euronet Worldwide, Inc.",120000,140000,"Leawood, Johnson County",,,full_time,2025-11-24T15:33:45Z,"Since 1996, epay, a business segment of Euronet, has been at the center of connecting local and global brands to consumers. Our capabilities, platforms, products, and solutions cater to the changing consumer demand for content and payments in categories such as mobile, gaming, and entertainment. We are looking for a pure technical builder-someone who thrives in a fast-moving environment and wants to get their hands in the latest AI technology. We’re seeking an AI Engineer with a deep, practical…",IT Jobs,Adzuna,AI Engineer
AI Engineer,"Max AI, Inc.",150,250,"San Francisco, California",,,full_time,2025-08-14T04:09:09Z,"Max AI – Stripe for Healthcare Max AI is the World’s first human-free, fully-autonomous medical billing AI agent. Many startups are attempting to attack this problem because the market is so big — $350B/yr. We have the best team going after it. While everyone else still needs humans in the loop, we’ve cracked the code for medical billing starting with dermatology, and are rapidly adding support for every other specialty. Medical doctors who code are rare. We have the best one in the world. His …",IT Jobs,Adzuna,AI Engineer
Ai Engineer,PepsiCo,98777.64,98777.64,"Plano, Collin County",,permanent,full_time,2025-11-22T16:16:57Z,"Overview As an AI Engineer specializing in AI Agents, you will play a pivotal role in our organization's transformation strategies by designing and developing domain-specific AI agents and solutions. Prototyping, iterating, and taking these solutions to production, you serve as the technical complement to the business side of the AI Solutions Lead. Your work will involve close collaboration with transformation teams, business stakeholders, and AI platform teams to create scalable, cross-domain …",IT Jobs,Adzuna,AI Engineer
Ai Engineer,PepsiCo,99474.45,99474.45,"Plano, Collin County",,permanent,full_time,2025-11-27T14:54:13Z,"Overview As an AI Engineer specializing in AI Agents, you will play a pivotal role in our organization's transformation strategies by designing and developing domain-specific AI agents and solutions. Prototyping, iterating, and taking these solutions to production, you serve as the technical complement to the business side of the AI Solutions Lead. Your work will involve close collaboration with transformation teams, business stakeholders, and AI platform teams to create scalable, cross-domain …",IT Jobs,Adzuna,AI Engineer
AI Engineer,"Cyclotron, Inc.",60172.14,60172.14,"Orlando, Orange County",,,,2025-11-21T18:49:47Z,"GENERAL DESCRIPTION & RESPONSIBILITIES As an AI Developer, you will assist in building and deploying AI-driven applications using Microsoft technologies. Work closely with senior architects to implement components of intelligent solutions, gain hands-on experience with AI and Agentic Solutions, and contribute to secure, scalable cloud solutions. Key Responsibilities: Assist in developing and deploying AI-driven solutions using Microsoft Copilot Studio, Azure AI Foundry, and related services. Su…",IT Jobs,Adzuna,AI Engineer
